Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
2.045834;40.23868;14.54166;99.55268022;0.07827735;-0.1804199;-1.207878;100.0539;0.0325405
2.054166;40.36063;14.54111;99.5489149;0.0639871;-0.1827268;-1.223858;100.0405;0.03270079
2.0625;40.48008;14.54056;99.54514959;0.050168;-0.1849674;-1.239406;99.97276;0.03286064
2.070834;40.59363;14.54;99.54131581;0.0363509;-0.187205;-1.25494;100.0313;0.03309093
2.079166;40.70544;14.53946;99.53761895;0.0222456;-0.1894826;-1.270752;99.93012;0.0332468
2.0875;40.8197;14.53889;99.53371671;0.008381402;-0.1917234;-1.286319;100.0332;0.03340394
2.095833;40.94206;14.53831;99.52974601;-0.0053089;-0.1939401;-1.301736;99.98419;0.03355894
2.104167;41.04633;14.53777;99.52604915;-0.01911892;-0.1961706;-1.317248;100.0214;0.0337103
2.1125;41.16153;14.53723;99.5223523;-0.03310694;-0.1984236;-1.332913;100.0007;0.03386333
2.120834;41.28182;14.53667;99.51851852;-0.04705936;-0.2006715;-1.348555;99.99496;0.03401611
2.129166;41.39886;14.5361;99.51461628;-0.06079123;-0.2028894;-1.364004;99.99478;0.03416934
2.1375;41.5066;14.53553;99.51071404;-0.07461081;-0.2051183;-1.379535;99.99647;0.03424447
2.145833;41.6172;14.53496;99.5068118;-0.0884996;-0.2073522;-1.395102;99.99657;0.03439382
2.154167;41.72916;14.53439;99.50290956;-0.1022585;-0.2095652;-1.41054;99.97631;0.0345397
2.1625;41.84664;14.5338;99.4988704;-0.116007;-0.2117749;-1.425966;100.0127;0.03468904
2.170834;41.95826;14.53322;99.49489971;-0.1300631;-0.2140276;-1.441697;100.0173;0.0348424
2.179166;42.07106;14.53266;99.49106593;-0.1438782;-0.2162422;-1.457178;99.98032;0.03505824
2.1875;42.17799;14.53207;99.48702677;-0.1579083;-0.2184854;-1.472863;100.0584;0.03521039
2.195834;42.29881;14.5315;99.48312453;-0.1716873;-0.2206919;-1.488313;99.9579;0.03536173
2.204166;42.40817;14.53093;99.47922229;-0.185359;-0.2228812;-1.503657;100.0155;0.03550662
2.2125;42.5203;14.53035;99.47525159;-0.1990498;-0.2250696;-1.519001;99.96863;0.03565432
2.220833;42.62984;14.52975;99.47114397;-0.212486;-0.22722;-1.534101;100.0396;0.03580026
2.229167;42.73513;14.52916;99.46710481;-0.2256519;-0.2293304;-1.548939;99.95228;0.03594497
2.2375;42.84607;14.52856;99.46299719;-0.2389703;-0.2314602;-1.563918;100.0339;0.03608704
2.245834;42.96322;14.52799;99.45909495;-0.2518932;-0.2335325;-1.57852;99.95891;0.0362286
