Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
1.670834;39.90657;12.28404;99.57072222;0.4824167;-0.1222127;-0.8172684;100.0234;0.0226088
1.679166;40.00878;12.28379;99.56869579;0.479896;-0.1228449;-0.8218234;100.0278;0.0225686
1.6875;40.12049;12.28351;99.5664262;0.4776414;-0.1234406;-0.8261399;99.99242;0.02250938
1.695834;40.2244;12.28322;99.56407555;0.4751012;-0.124077;-0.8307325;99.98969;0.02248372
1.704166;40.32666;12.28295;99.56188701;0.4722326;-0.1247604;-0.8356445;100.0064;0.0224449
1.7125;40.44246;12.28266;99.55953635;0.469556;-0.1254175;-0.8403834;99.92609;0.02240587
1.720833;40.54478;12.28236;99.55710464;0.4671566;-0.1260353;-0.8448587;100.0566;0.02236921
1.729166;40.64842;12.28207;99.55475399;0.4647134;-0.1266571;-0.8493592;99.9934;0.02233281
1.7375;40.76003;12.28179;99.5524844;0.4620294;-0.1273145;-0.8541;100.0301;0.02228164
1.745833;40.86782;12.28149;99.55005269;0.4597232;-0.1279192;-0.8584882;100.0532;0.02224998
1.754167;40.97112;12.28118;99.54753992;0.4571654;-0.1285591;-0.8631116;99.93758;0.0222186
1.7625;41.07805;12.28088;99.54510821;0.4543506;-0.129237;-0.8679931;99.98285;0.02218746
1.770834;41.18799;12.2806;99.54283862;0.4513611;-0.1299397;-0.8730399;100.0163;0.02215718
1.779167;41.2936;12.2803;99.54040691;0.4484956;-0.1306239;-0.8779621;100.0377;0.02212862
1.7875;41.40631;12.28;99.5379752;0.4457198;-0.1312985;-0.8828238;99.92196;0.02210202
1.795834;41.515;12.27971;99.53562454;0.4430693;-0.1319546;-0.8875618;100.0295;0.02207738
1.804166;41.62206;12.27942;99.53327389;0.4401986;-0.132641;-0.8925066;99.99419;0.02203623
1.8125;41.72664;12.27913;99.53092324;0.4375026;-0.1333038;-0.8972978;100.0032;0.02201123
1.820834;41.83933;12.27884;99.52857259;0.435259;-0.133901;-0.9016486;99.99674;0.02198674
1.829166;41.94796;12.27852;99.52597876;0.4326535;-0.13455;-0.906352;100.0102;0.0219602
1.8375;42.05018;12.27823;99.52362811;0.430217;-0.1351754;-0.9109015;99.97671;0.02193487
1.845833;42.16134;12.27792;99.52111534;0.427994;-0.1357699;-0.9152457;100.0481;0.02191156
1.854166;42.26724;12.2776;99.51852152;0.4256061;-0.1363872;-0.9197476;99.98634;0.0218886
1.8625;42.38508;12.27733;99.51633298;0.4231761;-0.1370106;-0.9242939;100.0216;0.02186301
1.870833;42.48046;12.27704;99.51398233;0.4207852;-0.137627;-0.9287949;99.95348;0.02184
1.879167;42.60232;12.27675;99.51163168;0.4183974;-0.138243;-0.9332965;100.0037;0.02181685
1.8875;42.70242;12.27647;99.50936208;0.4162494;-0.1388255;-0.9375756;99.99338;0.02179439
1.895834;42.81886;12.27616;99.50684932;0.4138831;-0.1394382;-0.942062;100.0202;0.02175757
1.904167;42.91822;12.27585;99.50433655;0.4113248;-0.1400784;-0.9467381;99.98376;0.02174566
1.9125;43.03383;12.27558;99.50214801;0.4090933;-0.1406707;-0.9510906;100.03;0.02171278
1.920834;43.13587;12.27531;99.49995947;0.4067345;-0.1412813;-0.9555719;100.0026;0.0216907
1.929166;43.2546;12.27504;99.49777093;0.4041446;-0.141925;-0.9602813;99.96812;0.02167092
1.9375;43.36213;12.27476;99.49550134;0.4018269;-0.1425306;-0.9647374;99.99898;0.0216524
1.945834;43.47156;12.27446;99.49306963;0.3995674;-0.1431276;-0.9691394;99.99995;0.02163202
1.954166;43.57908;12.27418;99.49080003;0.397205;-0.1437392;-0.9736437;100.0202;0.02161354
1.9625;43.69898;12.27388;99.48836832;0.394772;-0.1443608;-0.9782188;100.0142;0.02159626
1.970833;43.80266;12.27358;99.48593661;0.39174;-0.1450663;-0.9833664;100.0072;0.02158123
1.979166;43.9108;12.2733;99.48366702;0.3889807;-0.1457324;-0.9882499;99.94644;0.02156766
1.9875;44.0109;12.27302;99.48139742;0.386646;-0.1463373;-0.9927194;100.032;0.02155664
1.995833;44.12988;12.27274;99.47912783;0.3840676;-0.1469774;-0.997432;99.98749;0.02154971
2.004166;44.23085;12.27242;99.476534;0.3814847;-0.147617;-1.002143;99.99288;0.02154158
2.0125;44.34746;12.27211;99.47402124;0.3791103;-0.1482268;-1.006656;100.0436;0.02153455
2.020833;44.45922;12.27182;99.47167058;0.3768759;-0.1488173;-1.011042;99.96932;0.02153031
2.029167;44.57235;12.27152;99.46923887;0.3747766;-0.1493896;-1.015308;100.0025;0.02152723
2.0375;44.67881;12.27122;99.46680717;0.3728098;-0.1499423;-1.019443;100.0051;0.02151994
2.045834;44.79066;12.27093;99.46445651;0.3710124;-0.1504697;-1.023407;99.98664;0.02151467
2.054166;44.89394;12.27066;99.46226797;0.3695959;-0.1509427;-1.027004;100.0164;0.02150904
2.0625;45.00804;12.27038;99.45999838;0.3677474;-0.151477;-1.031022;99.97874;0.02150014
2.070834;45.11435;12.2701;99.45772878;0.3655208;-0.1520649;-1.03541;100.001;0.02149211
2.079166;45.22992;12.26984;99.4556213;0.3634848;-0.1526255;-1.039613;99.94788;0.02147604
2.0875;45.33342;12.26955;99.45327065;0.3615205;-0.1531758;-1.043751;100.0506;0.02146696
2.095833;45.44729;12.26925;99.45083894;0.35988;-0.1536812;-1.047584;100.0015;0.02145493
2.104167;45.55176;12.26895;99.44840723;0.357862;-0.1542369;-1.051761;99.99165;0.02144705
2.1125;45.66914;12.26868;99.44621869;0.3557126;-0.1548101;-1.05606;100.0217;0.02143908
2.120834;45.77188;12.2684;99.4439491;0.353595;-0.1553782;-1.060327;99.97709;0.02143102
2.129166;45.88538;12.26811;99.44159844;0.3514105;-0.1559563;-1.064665;100.0331;0.02142362
2.1375;45.99544;12.26783;99.43932885;0.3489384;-0.1565752;-1.069287;99.97406;0.02141664
2.145833;46.10738;12.26753;99.43689714;0.3466754;-0.1571637;-1.073704;100.0127;0.0214149
